feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_cpi_mom_delta,LSTM,DeepLIFTSHAP,0.005590019,base,-0.0901728,-1.08e-08,0.41552344
state_gas_wow_delta,LSTM,DeepLIFTSHAP,0.003869777,base,0.006448824,7.73e-10,0.12479027
event_name_2,LSTM,DeepLIFTSHAP,0.0,base,0.0,0.0,0.0
event_type_2,LSTM,DeepLIFTSHAP,0.0,base,0.0,0.0,0.0
day_of_week,LSTM,DeepLIFTSHAP,30.954304,baseNoCats,-2.3773665,-2.09e-07,18.643381
state_ur,LSTM,DeepLIFTSHAP,23.724289,baseNoCats,4.124934,3.62e-07,30.636337
state_cpi,LSTM,DeepLIFTSHAP,10.241139,baseNoCats,-7.2910624,-6.4e-07,10.498647
consumer_sentiment,LSTM,DeepLIFTSHAP,8.009299,baseNoCats,9.027725,7.92e-07,12.480922
state_gas_price,LSTM,DeepLIFTSHAP,6.738949,baseNoCats,-9.185368,-8.06e-07,8.449181
month,LSTM,DeepLIFTSHAP,6.199793,baseNoCats,-9.048963,-7.94e-07,5.975458
state_snap,LSTM,DeepLIFTSHAP,5.5033617,baseNoCats,63.914234,5.61e-06,2.5806372
day_of_month,LSTM,DeepLIFTSHAP,5.2145014,baseNoCats,43.576233,3.82e-06,4.226806
