feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
consumer_sentiment,DeepLIFTSHAP,5.2409506,base,7.027176,8.43E-07,7.989408
state_gas_price,DeepLIFTSHAP,4.93456,base,-7.960358,-9.54E-07,5.4553723
month,DeepLIFTSHAP,4.278469,base,-6.845135,-8.21E-07,3.749067
state_snap,DeepLIFTSHAP,3.898697,base,46.956383,5.63E-06,1.6766757
day_of_month,DeepLIFTSHAP,3.7408092,base,29.915806,3.59E-06,2.7371368
event_type_1,DeepLIFTSHAP,1.0536045,base,3.2814298,3.93E-07,0.9826885
sell_price,DeepLIFTSHAP,0.7617875,base,-0.004455157,-5.34E-10,0.6373249
event_name_1,DeepLIFTSHAP,0.7129134,base,1.6367779,1.96E-07,0.8832249
state_ur_mom_delta,DeepLIFTSHAP,0.025281744,base,-0.2142335,-2.57E-08,1.4430146
state_cpi_mom_delta,DeepLIFTSHAP,0.005590019,base,-0.0901728,-1.08E-08,0.41552344
state_gas_wow_delta,DeepLIFTSHAP,0.003869777,base,0.006448824,7.73E-10,0.12479027
event_name_2,DeepLIFTSHAP,0,base,0,0,0
event_type_2,DeepLIFTSHAP,0,base,0,0,0
day_of_week,DeepLIFTSHAP,30.954304,baseNoCats,-2.3773665,-2.09E-07,18.643381
state_ur,DeepLIFTSHAP,23.724289,baseNoCats,4.124934,3.62E-07,30.636337
state_cpi,DeepLIFTSHAP,10.241139,baseNoCats,-7.2910624,-6.40E-07,10.498647
consumer_sentiment,DeepLIFTSHAP,8.009299,baseNoCats,9.027725,7.92E-07,12.480922
state_gas_price,DeepLIFTSHAP,6.738949,baseNoCats,-9.185368,-8.06E-07,8.449181
month,DeepLIFTSHAP,6.199793,baseNoCats,-9.048963,-7.94E-07,5.975458
state_snap,DeepLIFTSHAP,5.5033617,baseNoCats,63.914234,5.61E-06,2.5806372
day_of_month,DeepLIFTSHAP,5.2145014,baseNoCats,43.576233,3.82E-06,4.226806
event_type_1,DeepLIFTSHAP,1.4171722,baseNoCats,2.9909706,2.63E-07,1.4501373
sell_price,DeepLIFTSHAP,1.1237803,baseNoCats,2.4301264,2.13E-07,0.95992994
event_name_1,DeepLIFTSHAP,0.825187,baseNoCats,2.256854,1.98E-07,0.9808991
state_ur_mom_delta,DeepLIFTSHAP,0.03467036,baseNoCats,-0.3038857,-2.67E-08,2.2701638
state_cpi_mom_delta,DeepLIFTSHAP,0.008034464,baseNoCats,-0.12339511,-1.08E-08,0.65341026
state_gas_wow_delta,DeepLIFTSHAP,0.00552479,baseNoCats,0.008963917,7.87E-10,0.19408986
event_name_2,DeepLIFTSHAP,0,baseNoCats,0,0,0
event_type_2,DeepLIFTSHAP,0,baseNoCats,0,0,0
day_of_week,DeepLIFTSHAP,31.408134,FOODS,-11.537415,-1.03E-06,20.70244
state_ur,DeepLIFTSHAP,23.215399,FOODS,8.389246,7.46E-07,31.308832
